pws_id,activity_date,federal_type,primary_source,principal_county_served,state_type,status,water_system_name,water_system_no
CA0103040,1983-01-27,C,GW,ALAMEDA,C,A,NORRIS CANYON PROPERTY OWNERS ASSN,CA0103040
CA0103041,1983-01-27,C,SWP,ALAMEDA,C,A,TRAILER HAVEN MOBILE HOME PARK,CA0103041
CA0105002,1981-11-30,NC,GW,ALAMEDA,NC,A,RIVERS END MARINA,CA0105002
CA0105003,1981-11-30,NTNC,GW,ALAMEDA,NTNC,A,CEMEX/ELIOT PLANT,CA0105003
CA0105008,1981-11-30,C,GWP,ALAMEDA,C,A,CASTLEWOOD DOMESTIC WATER SYSTEM,CA0105008
CA0105009,2017-10-24,NTNC,GWP,ALAMEDA,NTNC,A,MOUNTAIN HOUSE SCHOOL,CA0105009
CA0105010,1984-01-21,NC,SW,ALAMEDA,NC,A,EBRPD - DEL VALLE REGIONAL PARK,CA0105010
CA0105012,1993-07-01,NC,GW,ALAMEDA,NC,A,EBRPD - SUNOL REGIONAL WILDERNESS,CA0105012
CA0105013,1993-07-01,NC,GW,ALAMEDA,NC,A,EBRPD - REDWOOD SPRING REGIONAL PARK,CA0105013
CA0105016,2013-08-16,NC,GW,ALAMEDA,NC,A,MOUNTAIN HOUSE BAR,CA0105016
CA0105017,2015-07-02,NC,GW,ALAMEDA,NC,A,RANCHO LOS MOCHOS-BSA CAMP,CA0105017
CA0105018,2015-11-13,NC,GW,ALAMEDA,NC,A,PURPLE ORCHID RESORT SPA,CA0105018
CA0105019,2018-02-01,NC,GW,ALAMEDA,NC,A,SUNOL SUPER STOP,CA0105019
CA0105020,1993-07-01,NTNC,GW,ALAMEDA,NTNC,A,ALAMEDA COUNTY FAIRGROUNDS,CA0105020
CA0110001,1979-03-22,C,SW,ALAMEDA,C,A,ALAMEDA COUNTY WATER DISTRICT,CA0110001
CA0110003,1979-03-22,C,SWP,ALAMEDA,C,A,CALIFORNIA WATER SERVICE - LIVERMORE,CA0110003
CA0110005,1979-03-22,C,SW,ALAMEDA,C,A,EAST BAY MUD,CA0110005
CA0110006,1979-03-22,C,SWP,ALAMEDA,C,A,CITY OF HAYWARD,CA0110006
CA0110008,1979-03-22,C,SWP,ALAMEDA,C,A,CITY OF PLEASANTON,CA0110008
CA0110009,1979-03-22,C,SWP,ALAMEDA,C,A,DUBLIN SAN RAMON SERVICES DISTRICT,CA0110009
