pws_id,entry_id,code,name
CA0103040,0,R,RESIDENTIAL AREA
CA0103041,0,R,MOBILE HOME PARK
CA0105002,0,T,RECREATION AREA
CA0105003,0,NT,INDUSTRIAL/AGRICULTURAL
CA0105008,0,R,RESIDENTIAL AREA
CA0105009,0,NT,SCHOOL
CA0105010,0,T,RECREATION AREA
CA0105012,0,T,RECREATION AREA
CA0105013,0,T,RECREATION AREA
CA0105016,0,T,RESTAURANT
CA0105017,0,T,SUMMER CAMP
CA0105018,0,T,HOTEL/MOTEL
CA0105019,0,T,SERVICE STATION
CA0105020,0,T,RECREATION AREA
CA0110001,0,R,RESIDENTIAL AREA
CA0110003,0,R,RESIDENTIAL AREA
CA0110005,0,R,MUNICIPALITY
CA0110005,1,O,WHOLESALER (SELLS WATER)
CA0110006,0,R,RESIDENTIAL AREA
CA0110008,0,R,RESIDENTIAL AREA
CA0110009,0,R,RESIDENTIAL AREA
CA0110010,0,O,WHOLESALER (SELLS WATER)
CA0110011,0,R,RESIDENTIAL AREA
CA0110012,0,R,RESIDENTIAL AREA
CA0110016,0,O,OTHER AREA
CA0110018,0,O,WHOLESALER (SELLS WATER)
CA0110019,0,T,OTHER TRANSIENT AREA
CA0110650,0,NT,INDUSTRIAL/AGRICULTURAL
CA0190001,0,O,RECYCLED WATER
CA0190002,0,O,RECYCLED WATER
CA0190003,0,O,RECYCLED WATER
CA0190004,0,O,RECYCLED WATER
CA0190005,0,O,RECYCLED WATER
CA0190006,0,O,RECYCLED WATER
CA0190007,0,O,RECYCLED WATER
CA0190008,0,O,RECYCLED WATER
CA0190009,0,O,RECYCLED WATER
CA0202501,0,NT,SCHOOL
CA0202502,0,T,RESTAURANT
CA0202503,0,R,RESIDENTIAL AREA
CA0202504,0,R,RESIDENTIAL AREA
CA0202505,0,T,SUMMER CAMP
CA0202506,0,T,RESTAURANT
CA0202509,0,T,RECREATION AREA
CA0202512,0,T,HOTEL/MOTEL
CA0202513,0,R,RESIDENTIAL AREA
CA0202515,0,T,RECREATION AREA
CA0202516,0,R,RESIDENTIAL AREA
CA0202517,0,T,RECREATION AREA
CA0202519,0,T,RECREATION AREA
CA0202520,0,T,RESTAURANT
CA0202522,0,R,MOBILE HOME PARK
CA0202523,0,T,RECREATION AREA
CA0202524,0,T,RECREATION AREA
CA0202525,0,T,RECREATION AREA
CA0202529,0,T,RECREATION AREA
CA0202530,0,T,RECREATION AREA
CA0202532,0,T,RECREATION AREA
CA0202542,0,T,RECREATION AREA
CA0202543,0,T,RECREATION AREA
CA0202547,0,T,SUMMER CAMP
CA0202548,0,T,RECREATION AREA
CA0202549,0,T,RECREATION AREA
CA0202550,0,NT,INSTITUTION
CA0202552,0,T,RECREATION AREA
CA0202554,0,T,RECREATION AREA
CA0202556,0,T,RECREATION AREA
CA0202557,0,T,RECREATION AREA
CA0202562,0,T,RECREATION AREA
CA0202563,0,T,RECREATION AREA
CA0202564,0,T,RECREATION AREA
CA0202565,0,T,RECREATION AREA
CA0202566,0,T,RECREATION AREA
CA0202570,0,T,RESTAURANT
CA0202599,0,NT,SCHOOL
CA0210001,0,R,RESIDENTIAL AREA
CA0210002,0,R,RESIDENTIAL AREA
CA0210300,0,T,RECREATION AREA
CA0290901,0,O,RECYCLED WATER
CA0300006,0,T,SUMMER CAMP
CA0300007,0,T,SUMMER CAMP
CA0300010,0,R,RESIDENTIAL AREA
CA0300011,0,R,MOBILE HOME PARK
CA0300016,0,R,RESIDENTIAL AREA
CA0300019,0,R,RESIDENTIAL AREA
CA0300021,0,R,RESIDENTIAL AREA
CA0300022,0,T,SUMMER CAMP
CA0300024,0,R,MOBILE HOME PARK
CA0300025,0,T,RESTAURANT
CA0300028,0,T,RESTAURANT
CA0300032,0,T,RECREATION AREA
CA0300033,0,T,RECREATION AREA
CA0300034,0,T,RECREATION AREA
CA0300036,0,T,RECREATION AREA
CA0300037,0,R,MOBILE HOME PARK
CA0300037,1,T,RECREATION AREA
CA0300043,0,R,MOBILE HOME PARK
CA0300043,1,T,RESTAURANT
CA0300048,0,T,RESTAURANT
CA0300049,0,T,RECREATION AREA
CA0300051,0,T,HOTEL/MOTEL
CA0300052,0,T,RESTAURANT
CA0300053,0,R,MOBILE HOME PARK
CA0300055,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300060,0,T,RESTAURANT
CA0300062,0,R,RESIDENTIAL AREA
CA0300065,0,R,OTHER RESIDENTIAL AREA
CA0300070,0,R,OTHER RESIDENTIAL AREA
CA0300073,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300074,0,R,OTHER RESIDENTIAL AREA
CA0300074,1,R,RESIDENTIAL AREA
CA0300076,0,T,RECREATION AREA
CA0300077,0,T,RESTAURANT
CA0300078,0,R,RESIDENTIAL AREA
CA0300080,0,T,RECREATION AREA
CA0300081,0,T,RESTAURANT
CA0300083,0,T,RESTAURANT
CA0300085,0,T,RESTAURANT
CA0300086,0,T,OTHER TRANSIENT AREA
CA0300087,0,T,RESTAURANT
CA0300088,0,T,RECREATION AREA
CA0300089,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300090,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300091,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300092,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300095,0,T,OTHER TRANSIENT AREA
CA0300096,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300097,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300099,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300101,0,T,RESTAURANT
CA0300102,0,NT,INDUSTRIAL/AGRICULTURAL
CA0300104,0,T,OTHER TRANSIENT AREA
CA0300107,0,T,OTHER TRANSIENT AREA
CA0300108,0,T,OTHER TRANSIENT AREA
CA0300110,0,T,OTHER TRANSIENT AREA
CA0300112,0,T,OTHER TRANSIENT AREA
