pws_id,entry_id,count,meter_size_measure,meter_type,type
CA0103040,0,19,0,UN,CB
CA0103041,0,194,0,UN,CB
CA0105002,0,4,0,UN,CB
CA0105003,0,1,0,UN,CB
CA0105008,0,187,0,UN,CB
CA0105009,0,1,0,UN,CB
CA0105010,0,101,0,UN,CB
CA0105012,0,3,0,UN,CB
CA0105013,0,6,0,UN,CB
CA0105016,0,1,0,UN,CB
CA0105017,0,1,0,UN,CB
CA0105018,0,1,0,ME,CB
CA0105019,0,1,0,UN,CM
CA0105020,0,3,0,UN,CB
CA0110001,0,84730,0,UN,CB
CA0110003,0,18109,0,ME,CB
CA0110005,0,387846,0,ME,CB
CA0110006,0,34205,0,ME,CB
CA0110008,0,22220,0,ME,CB
CA0110009,0,24923,0,ME,CB
CA0110010,0,13,0,ME,CB
CA0110011,0,9698,0,ME,CB
CA0110012,0,124,0,ME,CB
CA0110016,0,412,0,ME,CB
CA0110018,0,1,0,UN,CB
CA0110019,0,1,0,UN,CB
CA0110650,0,1,0,UN,CB
CA0190009,0,1,0,ME,CB
CA0202501,0,3,0,UN,CB
CA0202502,0,2,0,UN,CB
CA0202503,0,16,0,UN,CB
CA0202504,0,167,0,UN,CB
CA0202505,0,1,0,UN,CB
CA0202506,0,10,0,UN,CB
CA0202509,0,26,0,UN,CB
CA0202512,0,28,0,UN,CB
CA0202513,0,32,0,UN,CB
CA0202515,0,28,0,UN,CB
CA0202516,0,15,0,UN,CB
CA0202517,0,45,0,UN,CB
CA0202519,0,15,0,UN,CB
CA0202520,0,8,0,UN,CB
CA0202522,0,31,0,UN,CB
CA0202523,0,1,0,UN,CB
CA0202524,0,1,0,UN,CB
CA0202525,0,1,0,UN,CB
CA0202529,0,7,0,UN,CB
CA0202530,0,15,0,UN,CB
CA0202532,0,7,0,UN,CB
CA0202542,0,25,0,UN,CB
CA0202543,0,26,0,UN,CB
CA0202547,0,8,0,UN,CB
CA0202548,0,13,0,UN,CB
CA0202549,0,2,0,UN,CB
CA0202550,0,1,0,UN,CB
CA0202552,0,5,0,UN,CB
CA0202554,0,1,0,UN,CB
CA0202556,0,5,0,UN,CB
CA0202557,0,1,0,UN,CB
CA0202562,0,6,0,UN,CB
CA0202563,0,6,0,UN,CB
CA0202564,0,6,0,UN,CB
CA0202565,0,6,0,UN,CB
CA0202566,0,6,0,UN,CB
CA0202570,0,1,0,UN,CB
CA0202599,0,3,0,UN,CB
CA0210001,0,485,0,UN,CB
CA0210002,0,858,0,ME,CB
CA0210300,0,14,0,UN,CB
CA0300006,0,4,0,UN,CB
CA0300007,0,18,0,UN,CB
CA0300010,0,62,0,UN,CB
CA0300011,0,19,0,UN,CB
CA0300016,0,72,0,UN,CB
CA0300019,0,65,0,UN,CB
CA0300021,0,12,0,UN,CB
CA0300022,0,19,0,UN,CB
CA0300024,0,22,0,UN,CB
CA0300025,0,5,0,UN,CB
CA0300028,0,4,0,UN,CB
CA0300032,0,23,0,UN,CB
CA0300033,0,12,0,UN,CB
CA0300034,0,23,0,UN,CB
CA0300036,0,142,0,UN,CB
CA0300037,0,190,0,UN,CB
CA0300043,0,7,0,UN,CB
CA0300048,0,1,0,UN,CB
CA0300049,0,27,0,UN,CB
CA0300051,0,27,0,UN,CB
CA0300052,0,18,0,UN,CB
CA0300053,0,24,0,UN,CB
CA0300055,0,8,0,UN,CB
CA0300060,0,2,0,UN,CB
CA0300062,0,21,0,UN,CB
CA0300065,0,43,0,UN,CB
CA0300070,0,54,0,UN,CB
CA0300073,0,9,0,UN,CB
CA0300074,0,24,0,UN,CB
CA0300076,0,4,0,UN,CB
CA0300077,0,1,0,UN,CB
CA0300078,0,20,0,UN,CB
CA0300080,0,125,0,UN,CB
CA0300081,0,3,0,UN,CB
CA0300083,0,2,0,UN,CB
CA0300085,0,6,0,UN,CB
CA0300086,0,2,0,UN,CB
CA0300087,0,1,0,UN,CB
CA0300088,0,2,0,UN,CB
CA0300089,0,5,0,UN,CB
CA0300090,0,1,0,UN,CB
CA0300091,0,1,0,UN,CB
CA0300092,0,3,0,UN,CB
CA0300095,0,5,0,UN,CB
CA0300096,0,1,0,UN,CB
CA0300097,0,3,0,UN,CB
CA0300099,0,5,0,UN,CB
CA0300101,0,5,0,UN,CB
CA0300102,0,2,0,UN,CB
CA0300104,0,2,0,UN,CB
CA0300107,0,3,0,UN,CB
CA0300108,0,1,0,ME,CM
CA0300110,0,3,0,UN,CB
CA0300112,0,1,1,ME,CB
CA0300113,0,5,0,UN,CB
CA0300448,0,10,0,UN,CB
CA0300524,0,2,0,UN,CB
CA0300649,0,6,0,UN,CB
CA0300667,0,4,0,UN,CB
CA0301038,0,80,0,UM,CB
CA0310001,0,2146,0,UN,CB
CA0310002,0,1882,0,UN,CB
CA0310003,0,1730,0,UN,CB
CA0310004,0,495,0,UN,CB
CA0310005,0,386,0,UN,CB
CA0310006,0,216,0,UN,CB
CA0310008,0,211,0,UN,CB
CA0310011,0,337,0,UN,CB
CA0310012,0,2728,0,UN,CB
CA0310018,0,81,0,UN,CB
CA0310019,0,51,0,UN,CB
CA0310020,0,213,0,UN,CB
CA0310021,0,722,0,UN,CB
CA0310300,0,6,0,UN,CB
CA0390004,0,1,0,UN,CB
CA0390904,0,1,0,UN,CB
CA0400001,0,49,0,UN,CB
CA0400003,0,16,0,UN,CB
CA0400004,0,42,0,UN,CB
CA0400007,0,168,0,UN,CB
CA0400008,0,85,0,UN,CB
CA0400010,0,18,0,UN,CB
CA0400012,0,144,0,UN,CB
CA0400013,0,97,0,UN,CB
CA0400014,0,115,0,UN,CB
CA0400016,0,36,0,UN,CB
CA0400018,0,6,0,UN,CB
CA0400019,0,35,0,UN,CB
CA0400020,0,88,0,UN,CB
CA0400021,0,22,0,UN,CB
CA0400023,0,52,0,UN,CB
CA0400026,0,25,0,UN,CB
CA0400027,0,127,0,UN,CB
CA0400028,0,35,0,UN,CB
CA0400030,0,100,0,UN,CB
CA0400036,0,129,0,UN,CB
CA0400040,0,177,0,UN,CB
CA0400041,0,16,0,UN,CB
CA0400042,0,21,0,UN,CB
CA0400046,0,62,0,UN,CB
CA0400048,0,12,0,UN,CB
CA0400049,0,33,0,UN,CB
CA0400051,0,80,0,UN,CB
CA0400060,0,3,0,UN,CB
CA0400062,0,3,0,UN,CB
CA0400063,0,3,0,UN,CB
CA0400064,0,11,0,UN,CB
CA0400067,0,2,0,UN,CB
CA0400068,0,6,0,UN,CB
CA0400070,0,35,0,UN,CB
CA0400073,0,6,0,UN,CB
CA0400078,0,21,0,UN,CB
CA0400079,0,4,0,UN,CB
CA0400081,0,32,0,UN,CB
CA0400090,0,17,0,UN,CB
CA0400091,0,38,0,UN,CB
CA0400093,0,15,0,UN,CB
CA0400094,0,15,0,UN,CB
CA0400103,0,4,0,UN,CB
CA0400105,0,7,0,UN,CB
CA0400106,0,28,0,UN,CB
CA0400107,0,1,0,UN,CB
CA0400111,0,94,0,UN,CB
CA0400117,0,22,0,UN,CB
CA0400120,0,6,0,UN,CB
CA0400123,0,24,0,UN,CB
CA0400132,0,22,0,UN,CB
CA0400133,0,8,0,UN,CB
CA0400135,0,10,0,UN,CB
CA0400137,0,6,0,UN,CB
CA0400138,0,2,0,UN,CB
CA0400140,0,3,0,UN,CB
CA0400141,0,10,0,UN,CB
CA0400142,0,6,0,UN,CB
CA0400143,0,30,0,UN,CB
CA0400144,0,2,0,UN,CB
CA0400149,0,32,0,UN,CB
CA0400150,0,5,0,UN,CB
CA0400151,0,56,0,UN,CB
CA0400152,0,4,0,UN,CB
CA0400154,0,2,0,UN,CB
CA0400155,0,29,0,UN,CB
CA0400158,0,18,0,UN,CB
CA0400160,0,2,0,UN,CB
CA0400161,0,22,0,UN,CB
CA0400162,0,3,0,UN,CB
CA0400164,0,11,0,UN,CB
CA0400166,0,4,0,UN,CB
CA0400169,0,1,0,UN,CB
CA0405001,0,382,0,UN,CB
CA0405002,0,1,0,UN,CB
CA0405003,0,1,0,UN,CB
CA0409175,0,1,0,UN,CB
CA0409177,0,5,0,UN,CB
CA0409179,0,16,0,UN,CB
CA0409181,0,16,0,UN,CB
CA0409182,0,1,0,UN,CB
CA0409183,0,66,0,UN,CB
CA0409184,0,2,0,UN,CB
CA0409187,0,1,0,UN,CB
CA0409188,0,1,0,UN,CB
CA0409189,0,3,0,UN,CB
CA0409190,0,3,0,UN,CB
CA0409192,0,1,0,UN,CB
CA0409193,0,1,0,UN,CB
CA0409194,0,2,0,UN,IN
CA0409195,0,1,0,UN,CB
CA0409196,0,1,0,ME,CM
CA0409197,0,3,0,ME,CB
CA0410001,0,715,0,UN,CB
CA0410002,0,28202,0,ME,CB
CA0410003,0,472,0,UN,CB
CA0410004,0,2205,0,UN,CB
CA0410005,0,3404,0,UN,CB
CA0410006,0,6715,0,UN,CB
CA0410007,0,10498,0,UN,CB
CA0410008,0,2961,0,UN,CB
CA0410009,0,273,0,UN,CB
CA0410011,0,4697,0,UN,CB
CA0410012,0,18,0,UN,CB
CA0410018,0,154,0,UN,CB
CA0500003,0,2,0,UN,CB
CA0500007,0,8,0,UN,CB
CA0500009,0,1,0,UN,CB
CA0500016,0,17,0,UN,CB
CA0500019,0,38,0,UN,CB
CA0500021,0,48,0,UN,CB
CA0500022,0,18,0,UN,CB
CA0500023,0,35,0,UN,CB
CA0500024,0,3,0,UN,CB
CA0500026,0,15,0,UN,CB
CA0500027,0,70,0,UN,CB
CA0500028,0,30,0,UN,CB
CA0500029,0,15,0,UN,CB
CA0500032,0,2,0,UN,CB
CA0500039,0,11,0,UN,CB
CA0500043,0,3,0,UN,CB
CA0500044,0,1,0,UN,CB
CA0500050,0,39,0,UN,CB
CA0500053,0,13,0,UN,CB
CA0500055,0,8,0,UN,CB
CA0500057,0,1,0,UN,CB
CA0500064,0,8,0,UN,CB
CA0500068,0,42,0,UN,CB
CA0500069,0,1,0,UN,CB
CA0500075,0,24,0,UN,CB
CA0500082,0,76,0,UN,CB
CA0500084,0,5,0,UN,CB
CA0500085,0,6,0,UN,CB
CA0500088,0,1,0,UN,CB
CA0500090,0,1,0,UN,CB
CA0500091,0,13,0,UN,CB
CA0500095,0,2,0,UN,CB
CA0500097,0,3,0,UN,CB
CA0500098,0,1,0,UN,CB
CA0500099,0,1,0,UN,CB
CA0500102,0,3,0,UN,CB
CA0500103,0,1,0,UN,CB
CA0500104,0,1,0,UN,CB
CA0500105,0,3,0,UN,CB
CA0500106,0,4,0,UN,CB
CA0500107,0,2,0,UN,CB
CA0510001,0,1650,0,UN,CB
CA0510002,0,1903,0,UN,CB
CA0510003,0,1797,0,UN,CB
CA0510004,0,48,0,UN,CB
CA0510005,0,577,0,UN,CB
CA0510006,0,3799,0,UN,CB
CA0510009,0,1713,0,UN,CB
CA0510010,0,262,0,UN,CB
CA0510011,0,296,0,UN,CB
CA0510012,0,448,0,UN,CB
CA0510016,0,6070,0,UN,CB
CA0510017,0,2568,0,UN,CB
CA0510019,0,104,0,UN,CB
CA0600001,0,1,0,UN,CB
CA0600003,0,1,0,UN,CB
CA0600005,0,63,0,UN,CB
CA0600008,0,123,0,UN,CB
CA0600009,0,1,0,UN,CB
CA0600012,0,88,0,UN,CB
CA0600013,0,120,0,UN,CB
CA0600016,0,12,0,UN,CB
CA0600027,0,42,0,UN,CB
CA0600032,0,1,0,UN,CB
CA0600033,0,1,0,UN,CB
CA0600042,0,3,0,UN,CB
CA0600050,0,2,0,UN,CB
CA0600056,0,1,0,UN,CB
CA0600061,0,2,0,UN,CB
CA0600065,0,20,0,UN,CB
CA0600076,0,1,0,UN,CB
CA0605002,0,4,0,UN,CB
CA0605004,0,1,0,UN,CB
CA0605005,0,1,0,UN,CB
CA0605006,0,1,0,UN,CB
CA0605007,0,1,0,UN,CB
CA0605011,0,56,0,UN,CB
CA0605012,0,1,0,UN,CB
CA0605013,0,1,0,UN,CB
CA0605014,0,5,0,UN,CB
CA0610001,0,1002,0,UN,CB
CA0610002,0,2197,0,UN,CB
CA0610003,0,396,0,UN,CB
CA0610004,0,1487,0,UN,CB
CA0690002,0,1,0,UN,RS
CA0701706,0,2,0,UN,CB
CA0701707,0,1,0,UN,CB
CA0706000,0,6,0,UN,CB
CA0706004,0,49,0,UN,CB
CA0706005,0,56,0,UN,CB
CA0706007,0,7,0,UN,CB
CA0706014,0,40,0,UN,CB
CA0706015,0,12,0,UN,CB
CA0706018,0,150,0,UN,CB
CA0706022,0,1,0,UN,CB
CA0706027,0,3,0,UN,CB
CA0706028,0,3,0,UN,CB
CA0706029,0,2,0,UN,CB
CA0706030,0,65,0,UN,CB
CA0706031,0,2,0,UN,CB
CA0706032,0,1,0,UN,CB
CA0706034,0,80,0,UN,CB
CA0706037,0,1,0,UN,CB
CA0706040,0,12,0,UN,CB
CA0706042,0,2,0,UN,CB
CA0706045,0,1,0,UN,CB
CA0706049,0,1,0,UN,CB
CA0706050,0,5,0,UN,CB
CA0706054,0,7,0,UN,CB
CA0706055,0,1,0,UN,CB
CA0706056,0,2,0,UN,CB
CA0706059,0,2,0,UN,CB
CA0706102,0,2,0,UN,CB
CA0706110,0,2,0,UN,CB
CA0706111,0,3,0,UN,CB
